 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Second Year (2019 Batch),,,,,,,,,,,,,,
HS 201,World Civilizations and Cultures,3,0,0,4,"Madhumita Sengupta, Sharada Channarayapatna, V.N. Prabhakar",,B,,,"Sharada: Class code: quziutl
https://iitgn-ac-in.zoom.us/j/93567624479

V.N. Prabhakar: 
https://iitgn-ac-in.zoom.us/j/96091681224",,,
PH 102,Physics Lab,0,0,4,2,"Chandan Kumar Mishra (L), 
Krishna Kanti Dey (Course Associate)
Vinod Chandra (Course Associate)
Baradwaj Coleppa (Course Associate)",,,,J2+L2+R3,https://meet.google.com/lookup/avjvwrl6od?authuser=0&hs=179,,,
MA 202,Mathematics IV,3,2,0,4,"Chetan Pahlajani (I+T), 
Satyajit Pramanik (I+T), 
Sanjay Bora (I, First half), 
Dilip Sundaram (I, Second half) ,
Manu Kurian (T), 
Pranjal Srivastava (T), 
Kamalesh Saha (T), 
Anand Sengupta (T),  
Nitin Padhiyar (T), 
Atul Bhargav (T, First half), 
Vinod Narayanan (T, second half) ",To join the Google Classroom click here,E,N1+P1,,"Prof. Chetan Pahlajani, Link-1;             Prof. Satyajit Pramanik, Link-2;                     Prof. Sanjay Bora, Link-3",,,
ES 202,Introduction to Materials (All branches except MSE),3,1,0,4,"Abhijit Mishra(I+T), 
Sriharitha Rowthu(I+T), 
Superb Misra (I+T), 
Abhay Gautam(T)
Raghavan Ranganathan (T), ",,H,G2,,Link for First Class,,,
ES 221,"Mechanics of Solids (CE, CL, ME, MSE)",3,2,0,4,"Ravi Ayyagari (I+T), 
Manish Kumar (I), 
Ashwini Kumar (T), 
Amit Arora (T), 
Pradipta Ghosh (T)",,C,"M1, M2",,"Link to First Lecture:
https://iitgn-ac-in.zoom.us/j/93779649614",,,
ES 212,"Fluid Mechanics (CE, CL, ME, MSE)",3,2,0,4,"Pranab Mohapatra (I+T), 
Vinod Narayanan (I+T), 
Prachi Thareja (I+T), 
Sriharitha Rowthu (T)",,F,"R1, R2",,Students list & meeting links,,,
CE 202,Sustainability and Environment (CE),1,0,3,3,"Vimal Mishra (I), 
Udit Bhatia (L)",,G3,,L1+J1,http://meet.google.com/fvs-wvoz-zrccontent_copy,,,
CL 251,Fluid Mechanics Lab (CL),0,0,4,2,Prachi Thareja,,,,L1+J1+R1,meet.google.com/qfy-kchx-cfy,,,
EE 331,Electrical Machines (EE),3,1,0,4,S. Rajendran (I+T),,"G1, G3, C3",I1,,EE331(I)  for C3 slot: https://meet.google.com/mft-hsap-haw?hs=122&authuser=0                                                                      For EE331(I) G1 and G3 slot : https://meet.google.com/tcy-mojb-krs?hs=122&authuser=0   EE331(T)  : https://meet.google.com/fby-mgnc-kww?hs=122&authuser=0,,,
ES 214,Discrete Mathematics (CS),3,1,0,4,Manoj Gupta (I+T),,D,I2,,https://meet.google.com/dse-gigw-xry,,,CSE
ES 215,Computer Organization and Architecture (CS),3,1,0,4,Sameer Kulkarni (I+T),,A,N3,,Microsoft Teams,,,CSE
ES 216,"Signals, Systems, and Networks (EE)",3,1,0,4,Himanshu Shekhar (I+T),,F,C2,,https://iitgn-ac-in.zoom.us/j/95082777504?pwd=SVh2NVFkM0ZBaU8ycWdaT2RxeG5XZz09,,,
ES 301,Data Structures and Algorithms II (CS),3,1,0,4,Neeldhara Mishra (I+T),,"P2, R2",T3,,"Course website, Alternate Link",,,CSE
MSE 201 A,"Microstructural Engineering (This course has been split into theory MSE 201A and  lab MSE 201B components, the theory component would be taught this sem, and lab component would be taught next semester) (MSE)",3,0,0,4,Abhay Gautam,,Mon & Thurs @ 10.30 am to 12.00 noon,,,https://iitgn-ac-in.zoom.us/j/93074286255?pwd=SXlaWThRSGI3b0g3dGxFT0MxdE52Zz09,,,
MSE 209,Material Thermodynamics and Kinetics (MSE),3,1,0,4,"Raghavan Ranganathan(I+T), 
S. P. Mehrotra (I+T)",,H,I3,,"
https://iitgn-ac-in.zoom.us/j/95752146600",,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6th Sem Chemical,,,,,,,,,,,,,,
CL 321,Separation Processes,3,2,0,4,Sameer Dalvi (I+T),,C,"D3, E3",,https://teams.microsoft.com/l/team/19%3a6e103940708e40ef93b89df40f12f6cb%40thread.tacv2/conversations?groupId=ef6f22fd-b7d8-40b6-8312-1932c17f0acd&tenantId=7c21bd5f-12e7-4869-9a23-9ad39d684f76,,,
CL 351,Heat Transfer and Thermodynamics Lab (to be offered during the first half of semester),0,0,4,2,Kabeer Jasuja,,,,J2+L2+R3,https://iitgn-ac-in.zoom.us/j/98642779673,,,
CL 352,Mass Transfer and Reaction Engineering Lab (to be offered during the second half of semester),0,0,4,2,Kaustabh Rane,,,,J2+L2+R3,,,,
CL 422,Process Control,3,1,0,4,Pratyush Dayal (I+T),,"E1, E2, I3",D1,,https://docs.google.com/document/d/1wA_hXRvAlUJc8D48LAneube85JrW93nRr0BJiCFRIDw/edit?usp=sharing,,,
CL 424,Process Analysis and Simulation,1,1,4,3,Chinmoy Ghoroi (I+T+L),,D2,H1,J1+L1+R1,https://www.google.com/url?q=https://teams.microsoft.com/l/meetup-join/19%253ameeting_NDk5NWY1ZWItZDFjZi00Y2E3LWJmZGUtZjBlZjc3ZmZkMzYz%2540thread.v2/0?context%3D%257b%2522Tid%2522%253a%25227c21bd5f-12e7-4869-9a23-9ad39d684f76%2522%252c%2522Oid%2522%253a%25222b688341-3795-45a6-a2ed-5fabebac7ee4%2522%257d&sa=D&source=calendar&ust=1610046882895000&usg=AOvVaw1nfY_S1Mj38UqTmFtKiwAb,,,
HS XXX,HSS Elective,,,,,,,,,,,,,
,,,,,,,,,,,,,,
8th Sem Chemical,,,,,,,,,,,,,,
HS XXX,HS Elective,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6th Sem Civil,,,,,,,,,,,,,,
CE 301 B,Soil Mechanics,0,0,2,1,Ajanta Sachan,,,,K3+M3,https://meet.google.com/vao-ziai-jku,,,
CE 304,Concrete Design,3,1,0,4,Dhiman Basu (I+T),,E,K2,,https://meet.google.com/iho-bxta-yqq?hs=224,,,
CE 305,Steel Design (Half-semester : first half),2,1,0,2,Gaurav (I+T),,F,D3,,https://iitgn-ac-in.zoom.us/j/95370362385?pwd=M3FIblY2K1E3SkFiYjhndElUVG14UT09,,,
CE 306A,"Civil Engineering Materials Lab (The course CE 306 has been be split into CE 306A and CE 306B, the theory and demonstration component would be taught this sem, and hands-on component would be taught after students return to campus)",1,0,2,1,Ravi Kanth (I+L),,,,J1+L1+R1,,,,
CE 307,Masonry Design (Half-semester : second half),2,1,0,2,Manish Kumar (I+T),,F,D3,,"Lecture: meet.google.com/hjx-ruvy-eva; Tutorial: meet.google.com/qzp-jquf-wpj
",,,
CE 309,Field Survey Project,0,0,0,2,"Vikrant Jain, Vimal Mishra",,,,,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,
,,,,,,,,,,,,,,
8th Sem Civil,,,,,,,,,,,,,,
CE 403,Construction Technology & Management,3,0,0,4,KN Jha,,H,,,https://meet.google.com/rvu-swqi-dkx,,,
,,,,,,,,,,,,,,
6th Sem  Computer Science,,,,,,,,,,,,,,
CS 327,Compilers,3,0,2,5,Bireswar Das (I+L),,"C2, C3, H2",,C1+E1,https://meet.google.com/xkt-qiwx-bgy,,DSA-1 (ES 242),CSE
CS 328,Introduction to Data Science,3,1,0,4,Anirban Dasgupta (I+T),,F,R1,x,Meet link: https://meet.google.com/hgy-jpzj-kxy Class page: https://www.notion.so/CS-328-2021-c7412b6c6c8a43cc8c60c48582c5cc1c,80,DSA-1 (ES 242),CSE
,,,,,,,,,,,,,,
8th Sem  Computer Science,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6th Sem  Electrical,,,,,,,,,,,,,,
EE 333,Power Electronics,2,1,3,4,Ragavan K. (I+T+L),,"G1, G2",G3,K2+M2+N2,"https://iitgn-ac-in.zoom.us/j/3146806810?pwd=WDNsRkpHNWxSVFZuOTFOR1hnTmo3Zz09; Meeting id: 3146806810, Passcode: ragavan",,,
EE 341,Communication Systems,3,1,0,4,Ravi Hegde (I+T),,C,B1,,https://iitgn-ac-in.zoom.us/j/96333954142,,,
ES 332,Control Theory,3,1,0,4,"Madhu Vadali (I+T), 
Rohith (T)",,"E1,D3 (Batch 1)
E2, E3( Batch 2)",K1,,"Google Classroom Code: upcc4cc  
Please join google classroom for Batch Information and Links",,,
ES 333,Microprocessors and Embedded Systems,2,1,2,4,Joycee Mekie (I+L+T),,"D1, D2",K3,J1+L1 (7/108),https://iitgn-ac-in.zoom.us/j/96033383177?pwd=SjdYQ1lsY25va0U4bWhCTEFZd0pQQT09,,,
HS XXX,HSS Elective,,,,,,,,,,,,,
,,,,,,,,,,,,,,
8th  Sem  Electrical,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6th  Sem  Mechanical,,,,,,,,,,,,,,
ES 332,Control Theory,3,1,0,4,"Madhu Vadali (I+T), 
Rohith (T)",,"E1,D3 (Batch 1)
E2, E3( Batch 2)",K1,,"Google Classroom Code: upcc4cc  
Please join google classroom for Batch Information and Links",,,
ME 322,Synthesis and Analysis of Mechanisms,2,1,2,4,Harish PM (I+T+L),,"C1, C3",N3,R2,Microsoft Teams Lecture Link,,,
ME 332,Industrial Engineering and Operations Research,3,1,0,4,Prof. Ramakrishnan (I+T),,F ,H2,,,,,
ME 352,Mechanical Engineering Laboratory II,0,0,4,2,,,,,J1+L1+R1,,,,
ME 361,Integrated Design and Manufacturing I,0,1,4,2,Prof. Ramakrishnan (T+L),,,G2,"G3+I3, G1+H1",,,,
HS XXX,HSS Elective,,,,,,,,,,,,,
,,,,,,,,,,,,,,
8th Sem  Mechanical,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6th Sem Materials Science,,,,,,,,,,,,,,
MSE 302(N),Corrosion and Degradation of Materials,3,0,0,4,Amit Arora,,I,,,https://iitgn-ac-in.zoom.us/j/92832705384?pwd=R3J0NC9hVXlxSEJ3Mk0vWFR3ZzRKQT09,,,
MSE 307,Materials Processing,3,0,0,4,Pradipta Ghosh,,E,,,https://meet.google.com/lookup/hjrc4acrkh,,,
MSE 352,Material Characterization Techniques,2,0,3,4,Emila Panda (I+L),,"F1, F2",,K2+M2+N2,https://iitgn-ac-in.zoom.us/j/95951113665?pwd=NjlVbVo0SzJXci9vbFF4dTRveExzQT09,,,
,BS Elective,,,,,,,,,,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ES 102,"Introduction to Computing
 (for MSc Students)",2,0,2,3,"Balagopal Komarath (I+L), Krishna Miyapuram (L)",,"A2, A3",,A1+B1,Meeting link: https://meet.google.com/aun-jmcp-bnc Course page: https://bkomarath.bgo.in/teaching/es102.html ,,,
Electives,,,,,,,,,,,,,,
Additional Courses BE,,,,,,,,,,,,,,
BE 603,Biophysical Techniques,3,0,1,4,Vijay Thiruvenkatam (I+L),,J,,P1,https://meet.google.com/pfb-tnud-fyd?hs=122&authuser=0; Lab will be at AB4/316,,,
BE 613,Biochemistry,3,0,0,4,Sharad Gupta,,"R1,R2",,,https://meet.google.com/rys-kwpc-mam,,,
BE 614,Biostatistics,2,0,2,4,Karla P. Mercado-Shekhar (I+L),,"M1, M2",,M3+N3,https://teams.microsoft.com/l/meetup-join/19%3a285c89d4dfd841e794e7d1a0a63805af%40thread.tacv2/1609602448351?context=%7b%22Tid%22%3a%227c21bd5f-12e7-4869-9a23-9ad39d684f76%22%2c%22Oid%22%3a%2234fd9685-7ffc-43d2-8807-cb4a4aebb254%22%7d,,,
BE 691-II,Special Topics in Biological Engineering: Human Physiology,3,0,0,4,Umashankar Singh,,L,,,https://meet.google.com/hom-csbn-brk,,,
IN 331,"Building Biotechnology : Science, Ethics, Law & Business",3,0,0,4,Bhaskar Datta,can be counted towards Basic Science Elective requirement,J,,,https://meet.google.com/pfy-tdxe-vyw,,,
,,,,,,,,,,,,,,
Additional Courses CE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CE 402,Geotechnical Engineering,2,1,2,4,Ajanta Sachan (I+T+L),,"C1, C2",C3,K1+M1,Course has been cancelled.,,,
CE 601B,Advanced Geotechnical Engineering Lab,0,0,3,1,Ajanta Sachan,,,,J1+L1,Lab will be at AB5/104,,,
CE 602,Analysis and Design of Foundation Systems,3,0,3,5,"Amit Prashant (I), 
Ajanta Sachan (L)",,N,,J2+L2,https://meet.google.com/bev-rrwg-pkv Lab will be at AB5/104 ,,,
CE 605,Remote Sensing of Land and Water Resources ,3,0,0,4,Vimal Mishra,,D,,,https://meet.google.com/jbz-ojhf-ehn,,,
CE 615,Structural Design for Fire,3,0,0,4,Gaurav Srivastav,,P,,,https://iitgn-ac-in.zoom.us/j/96375059588?pwd=OE5VTE5hVWdCNlZxWUFSbTNRcWRwZz09,,,
ES 622,Finite Element Methods,3,0,0,4,Aniket (I),,C,,,,,,
CE 629,Geosynthetics,3,0,0,4,"GV Rao, Kolli Mohan",,K,,,https://meet.google.com/pcz-jbvf-dzw,,,
CE 632,Advanced Concrete Design,3,0,0,4,Dhiman Basu,,L,,,https://classroom.google.com/u/0/c/MjQ4ODg2Nzk3MjMz,,,
CE 691-I,Special Topics in Civil Engineering: Design for Dynamic Loads,3,0,0,4,Manish Kumar,,J,,,meet.google.com/axy-turs-guu,,,
CE 692-I,Special Topics in Civil Engineering: Risk based seismic evaluation of existing buildings (Half Semester: First Half),3,0,0,2,Lestuzzi Pierino,,"R1, R2",,,https://drive.switch.ch/index.php/s/GVVXSW3HFfRWiaF,,,
,,,,,,,,,,,,,,
Additional Courses CG,,,,,,,,,,,,,,
CG 503,Fundamentals of Cognitive Psychology,3,0,0,4,Meera Sunny,,E,,,Join Microsoft Teams Meeting,,,"HSS elective, minor in CG, MSc cogsci core"
CG 504,Research Methods in Cognitive Science,2,0,2,4,Frederick Coolidge (I+L),,"Mon & Wed 9:00 PM to 10:30 PM (IST), Thurs 9:00 PM to 10:00 PM (IST). ",,,https://meet.google.com/kkd-eiin-pag,,,"minor in CG, MSc cogsci core
"
CG 505,Fundamental Neuroscience,3,0,0,4,Pratik Mutha,,K,,,Join Microsoft Teams Meeting,,,"Basic science, minor in CG, MSc cogsci core"
CG 604,"Phenomenology, Embodiment, and Consciousness",3,0,0,4,Angus McBlane,,F,,,https://meet.google.com/pch-reag-crt,,,"HSS elective, minor in CG"
CG 691-III,Special Topics in Cognitive Science: Brain Imaging Methods,3,0,0,4,Ayan Sengupta,,F,,,https://meet.google.com/ckw-cuvj-nib,,,
CG 692,Special Topics in Cognitive Science: Computational Approaches to Animal Intelligence,3,0,0,2,Niranjan Kambi,,Thursday Morning: 8:00 to 9:30 ,,,https://meet.google.com/lookup/du6piv6yb5,,,
,,,,,,,,,,,,,,
Additional Courses CH,,,,,,,,,,,,,,
CH 508,Organometallic and Bioinorganic Chemistry,3,0,0,4,Iti Gupta,,H,,,https://meet.google.com/wbh-jqgp-qks?hs=224,,,
CH 512,Reactions and Mechanisms in Organic Chemistry,3,0,0,4,Chandrakumar A,,E,,,https://iitgn-ac-in.zoom.us/j/99283498766?pwd=c01YY0s4UlBQSFRWbEhoWUtReXJCZz09,,,
CH 520,Introduction to Molecular Modelling,2,1,0,2,Sairam M (I+T),,"D1, D2",D3,,https://meet.google.com/lookup/e5yjqbu3ex,,,
CH 524,Analytical and Computational Chemistry Laboratory,0,0,4,2,Sairam M and Bhaskar Datta,, ,,L2+J2+R2,https://meet.google.com/lookup/hxmnjkxdjz,,,
CH 525,Physical Chemistry Laboratory,0,0,4,2,Saumyakanti Khatua,,,,L1+J1+R1,https://meet.google.com/kcf-kfmr-zfs,,,
CH 602,Chemistry of Natural Products,3,0,0,4,Sudipta Basu,,N,,,https://meet.google.com/lookup/cy7lzcrm4h?authuser=0&hs=179https://meet.google.com/lookup/cy7lzcrm4h?authuser=0&hs=179,,,
CH 624,Molecular Spectroscopy,3,0,0,4,Saumyakanti Khatua,,M,,,https://meet.google.com/oda-iwab-ayn,,,
CH 628,Fluorescence spectroscopy for chemists and biologists,3,0,0,4,Sriram Kanvah,,G,,,meet.google.com/oge-bgfz-csi,,,
CH 629,Medicinal Chemistry for life,3,0,0,4,Sivapriya K,,F,,,https://meet.google.com/sez-encq-xyh,,,
CH 632,Solid State Chemistry and Applications,3,0,0,4,Sudhanshu Sharma,,K,,,https://iitgn-ac-in.zoom.us/j/99371984953?pwd=em1lVnc2eFpyQ0ZLOXZVbHdCcWI1UT09,,,
,,,,,,,,,,,,,,
Additional Courses CL,,,,,,,,,,,,,,
CL 423,Chemical Processes,3,0,0,4,Subhash Deodhar,,Tue & Thu @ 6:30 pm - 8:00 pm,,,https://docs.google.com/document/d/1NWCKpVO_kpoivjPJ2JIXQl0YA3HDMlQ29lGIWq50LQE/edit,,,
CL 602,Advanced Thermodynamics,3,1,0,4,Mithun Radhakrishna (I+T),,E,D3,,https://meet.google.com/lookup/hjr3wutqty,,,
ES 617,Design of Experiments,3,0,0,4,Nitin Padhiyar,,Tue & Thu @ 1:00 pm – 2:00 pm; Fri @ 2:00 – 3:00 pm,,,https://www.google.com/url?q=https://teams.microsoft.com/l/meetup-join/19%253ameeting_NWY1OTQ4MzktNzEwZi00NTVkLWI5MTEtZGZmOGI3MTVjNmQ3%2540thread.v2/0?context%3D%257b%2522Tid%2522%253a%25227c21bd5f-12e7-4869-9a23-9ad39d684f76%2522%252c%2522Oid%2522%253a%252264b4f8e1-e82d-4c54-af33-f12b83558514%2522%257d&sa=D&source=calendar&ust=1609924543857000&usg=AOvVaw322UyccEOrms-fIEz9W3ux,,,
,,,,,,,,,,,,,,
Additional Courses CS,,,,,,,,,,,,,,
CS 432,Databases,3,0,0,4,Mayank Singh,,M,,,Microsoft teams passcode: scyup6r,80,DSA-1 (ES 242),CSE
ES 612,Artificial Intelligence,3,0,0,4,Krishna Miyapuram,,L,,,ES 612,,,
ES 654,Machine Learning,3,0,0,4,Nipun Batra,,R3; Sat @1:30-3:00 pm,,,First lecture on Zoom; Please also join the group on MS Teams (will work will Google classroom) with joining code: dr1od52,80,DSA-1 (ES 242),CSE
CS 691-VII,Speical Topics in CSE: Complexity Theory,3,0,0,4,"Balagopal Komarath, Bireswar Das",,P,,,,,,
CS 691-VII,Special Topics in Computer Science: Ubiquitous Computing,3,0,0,4,Nipun Batra,,P,,,,5,ES 654,CSE
,,,,,,,,,,,,,,
Additional Courses EE,,,,,,,,,,,,,,
ES 412,Optical Fiber Communication,3,0,0,4,Arup Chakraborty,,K,,,,,,
EE 426,Electric Vehicle Technology,3,0,0,4,S. Rajendran,,L,,,https://meet.google.com/adc-iurf-cvr?hs=122&authuser=0,,,
ES 608,Nanoscale Device engineering,3,0,0,4,Ravi Hegde,,N,,,https://iitgn-ac-in.zoom.us/j/96356852836,,,
EE 609,Advanced Signal Processing,3,0,0,4,Nithin George,,A,,,https://iitgn-ac-in.zoom.us/j/91867287154?pwd=QlZmc1JYNDhlalFQRU9yUGp5Y2JFQT09,,,Data Amalytics
EE 611,Restructured Power Systems: Operation and Management,3,0,0,4,Naran Pindoriya,,H,,,https://meet.google.com/ogh-rgzs-ymg,,,
EE 618,Microelectronics Lab,0,0,4,2,Nihar Mohapatra,,,,L1+J1+R1,https://iitgn-ac-in.zoom.us/j/92365077266?pwd=NXFaZVZVaFNiL0N6TXVUVTY2Um1rdz09,,,
EE 639,Lasers,3,0,0,4,Arup Chakraborty,,"H2, E2, E3",,,https://iitgn-ac-in.zoom.us/j/91668297794?pwd=ZnNOSTlmYXVzWkNGeUlJU2R1Z3FSdz09,,,
ES 641,Electronic Instrumentation,3,0,0,4,Uttama Lahiri,,"M1, K3+M3",,,https://iitgn-ac-in.zoom.us/j/92621277166?pwd=R216and3NVRCTEpaRTk0SjN3aTNCQT09,,,
EE 644,Physics of Transistors,3,0,0,4,Nihar Mohapatra,,F,,,https://iitgn-ac-in.zoom.us/j/97162810435?pwd=eUFzYWZZN010ZEFDUFZKMis4NXkyQT09,,,
EE 645,3D Computer Vision,3,1,0,4,Shanmuganathan (I+T),,H,I3,,Microsoft Teams,,,CSE
EE 652,IC Design Laboratory,0,0,4,2,Joycee Mekie,,,,L2+J2+R3,https://iitgn-ac-in.zoom.us/j/96033383177?pwd=SjdYQ1lsY25va0U4bWhCTEFZd0pQQT09,,,
EE 692,Special Topics in Electrical Engineering: Biophotonics (Half Semester: Second Half),3,0,0,2,Pradeep Gupta,,"G1, F2, F3",,,https://iitgn-ac-in.zoom.us/j/99166888306?pwd=ZXI1dFhKc2xYMjNXWjRqd2s3UVJ0QT09,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Additional Courses EH,,,,,,,,,,,,,,
EH 602,River Morphology and Ecology,3,0,0,4,Vikrant Jain,,K,,,http:// meet.google.com/ynx-qute-sxc,,,
EH 604,Quantitative Geomorphology,3,0,0,4,R. N. Singh,,"L, P2",,,https://meet.google.com/lookup/eyzqdjeh67,,,
EH 608,Biodiversity Conversation and Sustainable Development,3,0,0,4,C N Pandey,,M,,,https://meet.google.com/lookup/atgcmht5zu?authuser=0&hs=179,40,,
EH 611,Near Surface Geophysics,3,0,0,4,Sanjay Bora,,N,,,https://iitgn-ac-in.zoom.us/j/9935878809,,,
EH 691-II,Special Topics in Earth Sciences: Atmospheric Physics,3,0,0,4,P. C. Pandey,,R,,,meet.google.com/bqf-ravq-rcf,,,
,,,,,,,,,,,,,,
Additional Courses MA,,,,,,,,,,,,,,
MA 502,Complex Analysis,3,1,0,4,"N. R. Ladhawala (I), 
S. Banerjee (T)",,K,J1,,https://iitgn-ac-in.zoom.us/j/9705397964,,,
MA 507,Ordinary Differential Equations,3,1,0,4,"Jagmohan Tyagi (I), 
Akilandeeswari (T)",,D,H3,,Lecture                              Tutorial,,,
MA 602,Advanced Numerical Methods in Engineering,3, ,2,4,"V. D. Sharma (I+L), 
M. C. Joshi (I+L), 
Udit Bhatia (L), 
Raghavan Ranganathan (L)",,C,,N1+P1,"Section1: : https://iitgn-ac-in.zoom.us/j/93825451962?pwd=OUdDT29UQTNCMDQraU9VYXphY0hMdz09

Sectiion 2:
https://meet.google.com/lookup/et54ubsrkx   ",,,
MA 605,Commutative Algebra,3,0,0,4,Indranath Sengupta,,L,,,"https://iitgn-ac-in.zoom.us/j/97969812982?pwd=cGo2dFR4b1BkSGYvdEtNaGtTZ3JEQT09
Meeting ID: 979 6981 2982
Passcode: 880552",,,
MA 628,Algebra-II,3,0,0,4,Sanjay Amrutiya,,F,,,https://meet.google.com/ojw-ocbm-mhk,,,
MA 629,Introduction to Differential Geometry,3,0,0,4,Bipul Saurabh,,E,,,meet.google.com/xye-ucti-szz,,,
MA 634,Algebraic Number Theory,3,0,0,4,Arnab Saha,,"R1, R2",,,https://iitgn-ac-in.zoom.us/j/93379400114,,,
MA 692-I,Special Topics in Mathematics: Elementary Elliptic PDEs (Half Semester: First Half),3,0,0,2,Enrico Valdinoci,,"Jan 18-22, 25-29 @ 8:40 am–10:30 am",,,https://iitgn-ac-in.zoom.us/j/97673469932?pwd=eEVhSzF1MHNONDhPZWFXblZSMWNlQT09,,,
,,,,,,,,,,,,,,
Additional Courses ME,,,,,,,,,,,,,,
